protocol,flow_duration,total_packets,total_bytes,bytes_per_sec,mean_pkt_len,std_pkt_len,max_pkt_len,min_pkt_len,uplink_packet_count,uplink_byte_count,uplink_mean_size,uplink_std_size,downlink_packet_count,downlink_byte_count,downlink_mean_size,downlink_std_size,uplink_downlink_ratio,uplink_bytes_ratio,iat_mean,iat_std,iat_max,first_10_pkts_len_mean,first_10_pkts_len_std,pkt_len_entropy,label,source_file
tcp,0.785438060760498,6,408,519.4553464915556,68.0,3.0550504633038935,74,66,2,140,70.0,4.0,4,268,67.0,1.7320508075688772,0.5,0.5223880597014925,0.1570876121520996,0.14471003589603962,0.3573319911956787,68.0,3.0550504633038935,1.2516291673878228,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,40.298118114471436,105,43960,1090.8697988111148,418.6666666666667,540.9232788952548,1414,54,51,7295,143.0392156862745,176.13831026918277,54,36665,678.9814814814815,632.5549160976354,0.9444444444444444,0.198963589254057,0.3874819049468407,2.9631980058395024,29.821805000305176,165.4,162.865097550089,1.5802950759168646,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,123.24661993980408,42,12827,104.07587653328703,305.4047619047619,441.1981014682962,1414,66,22,4732,215.0909090909091,329.7523739098379,20,8095,404.75,519.9279637603656,1.1,0.5845583693638048,3.0060151204830263,12.996811115426896,60.846736907958984,164.9,162.4422666672686,1.5711010100850364,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,123.22456693649292,56,15129,122.77584231882214,270.1607142857143,392.0228572411178,1414,66,28,5839,208.53571428571428,312.38477671693573,28,9290,331.7857142857143,449.64909788021356,1.0,0.6285252960172228,2.2404466715725984,11.328593389076858,61.07902002334595,187.9,161.08597083545172,1.3415643514441455,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,133.44244813919067,63,26013,194.93797035907534,412.9047619047619,536.442121444489,1414,66,27,4580,169.62962962962962,258.95189717013267,36,21433,595.3611111111111,612.8852145919594,0.75,0.2136891709046797,2.152297550632108,10.745286840148813,60.869433879852295,165.6,162.62607417016497,1.5433444378696688,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,123.05822896957397,45,13328,108.30645062586862,296.1777777777778,421.5270276764331,1414,66,22,2982,135.54545454545453,128.90649439621214,23,10346,449.82608695652175,532.4110582732525,0.9565217391304348,0.2882273342354533,2.796777931126681,12.676067827025353,61.43941593170166,164.6,162.8798330058083,1.4702145051627518,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,58.80761504173279,10,695,11.818197345816417,69.5,16.231142904922006,115,54,6,423,70.5,20.70225430559033,4,272,68.0,3.4641016151377544,1.5,1.5551470588235294,6.534179449081421,18.43087758936139,58.664435148239136,69.5,16.231142904922006,1.9609640474436814,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,58.726457834243774,10,695,11.834529539677789,69.5,16.231142904922006,115,54,6,423,70.5,20.70225430559033,4,272,68.0,3.4641016151377544,1.5,1.5551470588235294,6.525161981582642,18.39235148601971,58.54643988609314,69.5,16.231142904922006,1.9609640474436814,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,2.2814371585845947,21,7158,3137.496017835016,340.85714285714283,474.9723085376147,1414,66,8,1394,174.25,178.13951695230344,13,5764,443.38461538461536,563.2996932172947,0.6153846153846154,0.24184594031922277,0.11407185792922973,0.202402950165033,0.7740311622619629,166.3,162.39399619444063,1.3752580686696532,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,1.4744558334350586,21,7145,4845.855561067708,340.23809523809524,473.8757024852568,1414,66,8,1403,175.375,178.11859637612238,13,5742,441.6923076923077,562.3210668724058,0.6153846153846154,0.24433995123650296,0.07372279167175293,0.12617358468645362,0.4693179130554199,166.4,162.89640880019425,1.3752580686696532,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
tcp,11.7028169631958,36,8809,752.724752314202,244.69444444444446,342.74567988560693,1414,54,16,2817,176.0625,192.8261745556085,20,5992,299.6,418.24136572080005,0.8,0.47012683578104136,0.33436619894845143,1.6583044963575126,9.988007068634033,163.8,162.92992358679848,1.2704260414863775,proxy,1690906066_clear_class_11__type_vmess_url_2-3_global.pcap
