protocol,flow_duration,total_packets,total_bytes,bytes_per_sec,mean_pkt_len,std_pkt_len,max_pkt_len,min_pkt_len,uplink_packet_count,uplink_byte_count,uplink_mean_size,uplink_std_size,downlink_packet_count,downlink_byte_count,downlink_mean_size,downlink_std_size,uplink_downlink_ratio,uplink_bytes_ratio,iat_mean,iat_std,iat_max,first_10_pkts_len_mean,first_10_pkts_len_std,pkt_len_entropy,label,source_file
tcp,0.5988099575042725,68,110597,184694.65748523545,1626.4264705882354,2293.7775567581834,10218,54,31,2441,78.74193548387096,93.24922130330773,37,108156,2923.135135135135,2444.175483174092,0.8378378378378378,0.0225692518214431,0.008937462052302574,0.027262323043040423,0.1953730583190918,697.6,1136.6405060528152,1.9469244809437476,common,common_yz_chsi_com_cn_018.pcap
tcp,0.14202499389648438,65,105311,741496.2473207811,1620.1692307692308,4539.79319613445,36354,54,31,2469,79.64516129032258,92.59330024780644,34,102842,3024.764705882353,5937.71176493607,0.9117647058823529,0.02400770113377803,0.0022191405296325684,0.00433910942919861,0.016204118728637695,647.9,1047.3318910450496,0.11467550533614673,common,common_www_taobao_com_002.pcap
tcp,0.9340028762817383,25,6472,6929.314849398544,258.88,624.4785549560529,3209,54,13,1498,115.23076923076923,135.17803294809394,12,4974,414.5,863.7572479194217,1.0833333333333333,0.30116606353035785,0.0389167865117391,0.07121027111774848,0.18821096420288086,441.6,934.5202191499122,0.7641140545540274,common,common_www_ubuntu_com_009.pcap
tcp,0.145766019821167,24,7733,53050.772803477994,322.2083333333333,854.0819134781837,4304,54,12,1428,119.0,139.42919349978325,12,6305,525.4166666666666,1164.8536716639087,1.0,0.22648691514670896,0.006337653035702912,0.009584053763912517,0.04111289978027344,549.5,1260.4200291966167,0.785235442391543,common,common_www_doubao_com_016.pcap
tcp,0.22950100898742676,26,11061,48195.86654020322,425.4230769230769,917.0946672499109,4150,54,13,1497,115.15384615384616,135.17785785563356,13,9564,735.6923076923077,1212.97906536665,1.0,0.15652446675031367,0.00918004035949707,0.02629492225115429,0.13431620597839355,726.5,1285.6443715118112,0.9989525689736319,common,common_www_zhihu_com_012.pcap
tcp,0.24549508094787598,28,9098,37059.8056990466,324.92857142857144,863.7481829036676,4501,54,14,1553,110.92857142857143,131.2149078451695,14,7545,538.9285714285714,1176.143058857195,1.0,0.20583167660702453,0.009092410405476889,0.014410577851639792,0.043515920639038086,570.8,1318.5817987519774,0.8059584928680418,common,common_www_bilibili_com_004.pcap
tcp,0.32973694801330566,47,67223,203868.56979487598,1430.276595744681,3440.3735800496,18774,54,22,1985,90.22727272727273,108.19634165306809,25,65238,2609.52,4389.856408767831,0.88,0.030427051718323675,0.007168194522028384,0.015353801618147393,0.04648900032043457,573.4,836.620248380351,1.0220168094373596,common,common_www_xjtu_edu_cn_014.pcap
tcp,0.21560001373291016,27,9768,45306.11956314996,361.77777777777777,825.5717360460111,4150,54,14,2012,143.71428571428572,178.12372448522908,13,7756,596.6153846153846,1129.176182918771,1.0769230769230769,0.259412068076328,0.008292308220496545,0.01425743507336476,0.05786609649658203,581.3,1206.1463468418747,1.042344321483692,common,common_www_gitee_com_007.pcap
tcp,0.14234495162963867,63,127869,898303.7230059059,2029.6666666666667,3201.6396345007897,14454,54,32,2467,77.09375,91.37879929686919,31,125402,4045.2258064516127,3581.2050477699177,1.032258064516129,0.019672732492304747,0.002295886316607075,0.007232270638179001,0.04205513000488281,630.9,1217.0939528236922,1.8265357684941734,common,common_wlj_xa_gov_cn_020.pcap
tcp,0.06983494758605957,23,6663,95410.68233478657,289.69565217391306,604.468320799909,2958,54,11,1374,124.9090909090909,144.18325116793343,12,5289,440.75,795.9584500252929,0.9166666666666666,0.2597844583096994,0.003174315799366344,0.004838631705959656,0.015401124954223633,453.3,856.5771477222586,1.0534081504863568,common,common_www_aliyun_com_005.pcap
